SNR;SGL;FSP;gueltigVon;gueltigBis
141070;   ;LB;;
141070;   ;SB;;
141070;   ;EZ;;
141070;   ;KB;;
141070;   ;GH;;
141070;   ;SG;;
141070;   ;SH;;
141070;   ;BL;;
141082;   ;LB;;
141082;   ;SB;;
141082;   ;EZ;;
141082;   ;KB;;
141082;   ;GH;;
141082;   ;SG;;
141082;   ;SH;;
141082;   ;BL;;
141161;   ;EZ;;
141161;   ;LB;;
141161;   ;SB;;
141161;   ;GB;;
141161;   ;KB;;
141173;   ;EZ;;
141173;   ;LB;;
141173;   ;SB;;
141173;   ;GB;;
141173;   ;KB;;
141240;   ;EZ;;
141240;   ;LB;;
141240;   ;SB;;
141240;   ;GB;;
141240;   ;KB;;
141252;   ;EZ;;
141252;   ;LB;;
141252;   ;SB;;
141252;   ;GB;;
141252;   ;KB;;
141276;   ;EZ;;
141276;   ;LB;;
141276;   ;SB;;
141276;   ;GB;;
141276;   ;KB;;
141331;   ;LB;;
141331;   ;SB;;
141331;   ;EZ;;
141367;   ;LB;;
141367;   ;SB;;
141367;   ;EZ;;
141392;   ;LB;;
141392;   ;SB;;
141392;   ;EZ;;
141483;   ;EZ;;
141483;   ;LB;;
141483;   ;SB;;
141483;   ;GB;;
141483;   ;KB;;
141513;   ;EZ;;
141513;   ;LB;;
141513;   ;SB;;
141513;   ;GB;;
141513;   ;KB;;
141549;   ;EZ;;
141549;   ;LB;;
141549;   ;SB;;
141549;   ;GB;;
141549;   ;KB;;
141628;   ;EZ;;
141628;   ;LB;;
141628;   ;SB;;
141628;   ;GB;;
141628;   ;KB;;
141665;   ;LB;;
141665;   ;SB;;
141665;   ;EZ;;
141665;   ;GB;;
141665;   ;KB;;
141665;   ;GH;;
141665;   ;SG;;
141665;   ;SH;;
141665;   ;BL;;
141847;   ;LB;;
141847;   ;SB;;
141847;   ;EZ;;
141847;   ;GB;;
141847;   ;KB;;
141847;   ;GH;;
141847;   ;SG;;
141847;   ;SH;;
141847;   ;BL;;
141860;   ;LB;;
141860;   ;SB;;
141860;   ;EZ;;
141860;   ;KB;;
141860;   ;GH;;
141860;   ;SG;;
141860;   ;SH;;
141860;   ;BL;;
141872;   ;LB;;
141872;   ;SB;;
141872;   ;EZ;;
141872;   ;KB;;
