Fach;Bezeichnung;FachkuerzelAtomar;Kurzbezeichnung;Aufgabenfeld;Fachgruppe_ID;SchulformenUndGliederungen;SchulformenAusgelaufen;AusgelaufenInSchuljahr;AbJahrgang;IstFremdsprache;IstHKFS;IstAusRegUFach;IstErsatzPflichtFS;IstKonfKoop;NurSII;ExportASD;gueltigVon;gueltigBis
PA;Pädagogik/ Erziehungswissenschaft;PA;Pädagogik/ Erziehungswissenschaft;2;6;BK,GE,GM,GY,H,PS,R,S,SB,SG,SK,SR,WB;;;;0;0;0;0;0;0;1;;
PH;Physik;PH;Physik;3;10;BK,GE,GM,GY,H,PS,R,S,SB,SG,SK,SR,V,WB;;;;0;0;0;0;0;0;1;;
PK;Politik;PK;Politik;;6;BK,GE,GM,GY,H,PS,R,S,SB,SG,SK,SR,V,WB;;;;0;0;0;0;0;0;1;;
PL;Philosophie;PL;Philosophie;2;7;BK,GE,GM,GY,PS,S,SB,SG,SK,WB;;;;0;0;0;0;0;0;1;;
PM;Unterricht in der Herkunftssprache - Polnisch;PM;Unterricht in der Herkunftssprache - Polnisch;;;G,GE,GM,GY,H,PS,R,S,SG,SK,SR,V;;;;1;1;0;0;0;0;1;;
PÖ;Politik/Ökonomische Grundbildung;PÖ;Politik/Ökonomische Grundbildung;;;(GM,R),(H,R),R,(S,R00),(SK,R),SR;;;;0;0;0;0;0;0;1;;
PP;Praktische Philosophie;PP;Praktische Philosophie;;;BK,GE,GM,GY,H,PS,R,S,SB,SG,SK,SR,V,WB;;;;0;0;0;0;0;0;1;;
PS;Psychologie;PS;Psychologie;2;6;BK,GE,GM,GY,H,PS,R,S,SB,SG,SK,SR,V,WB;;;;0;0;0;0;0;0;1;;
PU;Fachübergreifender Unterricht;PU;Fachübergreifender Unterricht;;;BK,SB;;;;0;0;0;0;0;0;1;;
PW;Personalwirtschaft und Soziologie/Politik;PW;Personalwirtschaft und Soziologie/Politik;;;BK,SB;;;;0;0;0;0;0;0;1;;
PX;Projektkurs (mit einem oder zwei Leitfächern);PX;Projektkurs (mit einem oder zwei Leitfächern);;14;GE,GY,SG,WB;;;;0;0;0;0;0;0;1;;
