Schulform;FSP;BG;Fach;Bezeichnung;KZ_Bereich;Flag;Sortierung;Sortierung2;geaendert
V;;***;QM;Unterricht in der Herkunftssprache - Farsi;0;1;17;1;2018-04-05 11:16:02
BK;;***;R;Russisch;-1;1;18;0;
FW;;***;R;Russisch;0;1;18;1;2016-02-22 14:59:09
H;;***;R;Russisch;0;1;18;1;2016-02-22 15:57:57
S;;***;R;Russisch;0;1;18;1;2016-02-22 14:29:29
SB;;***;R;Russisch;;1;18;0;
SK;;H;R;Russisch;0;1;18;5;2016-04-18 10:52:50
SK;;H;R;Russisch;0;2;18;5;2016-04-18 10:53:15
WB;;***;R;Russisch;0;1;18;1;2016-02-22 13:07:57
GE;;***;R0;Russisch, regulärer Beginn in der Einführungsphase;0;1;18;5;2020-08-13 10:32:02
GE;;***;R0;Russisch, regulärer Beginn in der Einführungsphase;0;2;18;5;2020-08-13 10:31:58
GM;;***;R0;Russisch, regulärer Beginn in der Einführungsphase;0;1;18;5;2017-02-07 10:37:37
GM;;***;R0;Russisch, regulärer Beginn in der Einführungsphase;0;2;18;5;2017-02-07 10:37:34
GY;;***;R0;Russisch, regulärer Beginn in der Einführungsphase;0;1;18;5;2016-02-22 15:54:45
GY;;***;R0;Russisch, regulärer Beginn in der Einführungsphase;0;2;18;5;2016-02-22 15:54:49
PS;;***;R0;Russisch, regulärer Beginn in der Einführungsphase;0;1;18;4;2016-02-22 16:02:59
PS;;***;R0;Russisch, regulärer Beginn in der Einführungsphase;0;2;18;4;2016-02-22 16:03:02
SG;;***;R0;Russisch, regulärer Beginn in der Einführungsphase;0;1;18;1;2016-02-22 13:35:51
SG;;***;R0;Russisch, regulärer Beginn in der Einführungsphase;0;2;18;1;2016-02-22 13:35:52
GE;;***;R5;Russisch, regulärer Beginn in Jahrgang 5;;1;18;1;2016-02-22 15:06:18
GE;;***;R5;Russisch, regulärer Beginn in Jahrgang 5;0;2;18;1;2016-02-22 15:06:19
GM;;***;R5;Russisch, regulärer Beginn in Jahrgang 5;0;1;18;1;2016-02-22 15:49:32
GM;;***;R5;Russisch, regulärer Beginn in Jahrgang 5;0;2;18;1;2016-02-22 15:49:33
GY;;***;R5;Russisch, regulärer Beginn in Jahrgang 5;;1;18;1;2016-02-22 15:54:34
GY;;***;R5;Russisch, regulärer Beginn in Jahrgang 5;0;2;18;1;2016-02-22 15:54:34
PS;;***;R5;Russisch, regulärer Beginn in Jahrgang 5;0;1;18;1;2016-02-22 16:02:53
PS;;***;R5;Russisch, regulärer Beginn in Jahrgang 5;0;2;18;1;2016-02-22 16:02:54
R;;***;R5;Russisch, regulärer Beginn in Jahrgang 5;0;1;18;1;2018-03-07 11:59:41
R;;***;R5;Russisch, regulärer Beginn in Jahrgang 5;0;2;18;1;2018-03-07 11:59:36
SG;;***;R5;Russisch, regulärer Beginn in Jahrgang 5;;1;18;2;2016-02-22 13:35:53
SG;;***;R5;Russisch, regulärer Beginn in Jahrgang 5;0;2;18;2;2016-02-22 13:35:54
SK;;***;R5;Russisch, regulärer Beginn in Jahrgang 5;0;1;18;1;2016-02-23 11:09:16
SK;;***;R5;Russisch, regulärer Beginn in Jahrgang 5;0;2;18;1;2016-02-23 11:09:17
SR;;***;R5;Russisch, regulärer Beginn in Jahrgang 5;0;1;18;1;2018-03-07 11:59:46
SR;;***;R5;Russisch, regulärer Beginn in Jahrgang 5;0;2;18;1;2018-03-07 11:59:30
GE;;***;R6;Russisch, regulärer Beginn in Jahrgang 6;0;1;18;2;2016-02-22 15:06:20
GE;;***;R6;Russisch, regulärer Beginn in Jahrgang 6;0;2;18;2;2016-02-22 15:06:22
GM;;***;R6;Russisch, regulärer Beginn in Jahrgang 6;0;1;18;2;2016-02-22 15:49:33
GM;;***;R6;Russisch, regulärer Beginn in Jahrgang 6;0;2;18;2;2016-02-22 15:49:34
GY;;***;R6;Russisch, regulärer Beginn in Jahrgang 6;0;1;18;2;2016-02-22 15:54:35
GY;;***;R6;Russisch, regulärer Beginn in Jahrgang 6;0;2;18;2;2016-02-22 15:54:40
PS;;***;R6;Russisch, regulärer Beginn in Jahrgang 6;0;1;18;2;2016-02-22 16:02:54
PS;;***;R6;Russisch, regulärer Beginn in Jahrgang 6;0;2;18;2;2016-02-22 16:02:55
R;;***;R6;Russisch, regulärer Beginn in Jahrgang 6;0;1;18;2;2018-03-07 12:00:19
R;;***;R6;Russisch, regulärer Beginn in Jahrgang 6;0;2;18;2;2018-03-07 12:00:13
SG;;***;R6;Russisch, regulärer Beginn in Jahrgang 6;0;1;18;3;2016-02-22 13:35:55
SG;;***;R6;Russisch, regulärer Beginn in Jahrgang 6;0;2;18;3;2016-02-22 13:35:56
SK;;***;R6;Russisch, regulärer Beginn in Jahrgang 6;0;1;18;2;2016-02-23 11:09:18
SK;;***;R6;Russisch, regulärer Beginn in Jahrgang 6;0;2;18;2;2016-02-23 11:09:18
SR;;***;R6;Russisch, regulärer Beginn in Jahrgang 6;0;1;18;2;2018-03-07 12:00:26
SR;;***;R6;Russisch, regulärer Beginn in Jahrgang 6;0;2;18;2;2018-03-07 12:00:21
GE;;***;R7;Russisch, regulärer Beginn in Jahrgang 7;0;1;18;3;2020-08-13 10:31:55
GE;;***;R7;Russisch, regulärer Beginn in Jahrgang 7;0;2;18;3;2020-08-13 10:31:54
GM;;***;R7;Russisch, regulärer Beginn in Jahrgang 7;0;1;18;3;2016-02-22 15:49:34
GM;;***;R7;Russisch, regulärer Beginn in Jahrgang 7;0;2;18;3;2016-02-22 15:49:35
GY;;***;R7;Russisch, regulärer Beginn in Jahrgang 7;;1;18;3;2016-02-22 15:54:41
GY;;***;R7;Russisch, regulärer Beginn in Jahrgang 7;0;2;18;3;2016-02-22 15:54:41
R;;***;R7;Russisch, regulärer Beginn in Jahrgang 7;0;1;18;3;2018-03-07 12:00:30
R;;***;R7;Russisch, regulärer Beginn in Jahrgang 7;0;2;18;3;2018-03-07 12:00:35
SG;;***;R7;Russisch, regulärer Beginn in Jahrgang 7;0;1;18;4;2020-08-13 09:20:51
SG;;***;R7;Russisch, regulärer Beginn in Jahrgang 7;0;2;18;4;2020-08-13 09:20:51
SK;;***;R7;Russisch, regulärer Beginn in Jahrgang 7;0;1;18;3;2016-02-23 11:09:19
SK;;***;R7;Russisch, regulärer Beginn in Jahrgang 7;0;2;18;3;2016-02-23 11:09:20
GE;;***;R8;Russisch, regulärer Beginn in Jahrgang 8;;1;18;4;2020-08-13 10:31:56
GE;;***;R8;Russisch, regulärer Beginn in Jahrgang 8;0;2;18;4;2020-08-13 10:31:57
GM;;***;R8;Russisch, regulärer Beginn in Jahrgang 8;0;1;18;4;2016-02-22 15:49:37
GM;;***;R8;Russisch, regulärer Beginn in Jahrgang 8;0;2;18;4;2016-02-22 15:49:40
GY;;***;R8;Russisch, regulärer Beginn in Jahrgang 8;;1;18;4;2016-02-22 15:54:43
GY;;***;R8;Russisch, regulärer Beginn in Jahrgang 8;0;2;18;4;2016-02-22 15:54:44
PS;;***;R8;Russisch, regulärer Beginn in Jahrgang 8;0;1;18;3;2016-02-22 16:02:56
PS;;***;R8;Russisch, regulärer Beginn in Jahrgang 8;0;2;18;3;2016-02-22 16:02:59
R;;***;R8;Russisch, regulärer Beginn in Jahrgang 8;0;1;18;4;2018-03-07 12:00:50
R;;***;R8;Russisch, regulärer Beginn in Jahrgang 8;0;2;18;4;2018-03-07 12:00:36
SG;;***;R8;Russisch, regulärer Beginn in Jahrgang 8;0;1;18;5;2020-08-13 09:20:52
SG;;***;R8;Russisch, regulärer Beginn in Jahrgang 8;0;2;18;5;2020-08-13 09:20:56
SK;;***;R8;Russisch, regulärer Beginn in Jahrgang 8;0;1;18;4;2016-02-23 11:09:21
SK;;***;R8;Russisch, regulärer Beginn in Jahrgang 8;0;2;18;4;2016-02-23 11:09:24
SR;;***;R8;Russisch, regulärer Beginn in Jahrgang 8;0;1;18;3;2018-03-07 12:00:41
SR;;***;R8;Russisch, regulärer Beginn in Jahrgang 8;0;2;18;4;2018-03-07 12:00:45
BK;;***;RE;Rechnungswesen;-1;1;18;0;
SB;;***;RE;Rechnungswesen;;1;18;0;
GE;;***;RH;Herkunftssprache anstelle einer Pflichtfremdsprache - Arabisch;;1;18;7;2020-08-13 10:32:05
GM;;***;RH;Herkunftssprache anstelle einer Pflichtfremdsprache - Arabisch;0;1;18;7;2017-02-07 10:44:07
GY;;***;RH;Herkunftssprache anstelle einer Pflichtfremdsprache - Arabisch;;1;18;7;2016-02-22 15:55:09
H;;R;RH;Herkunftssprache anstelle einer Pflichtfremdsprache - Arabisch;0;1;18;2;2016-02-22 15:57:58
PS;;***;RH;Herkunftssprache anstelle einer Pflichtfremdsprache - Arabisch;0;1;18;6;2016-02-22 16:03:06
R;;***;RH;Herkunftssprache anstelle einer Pflichtfremdsprache - Arabisch;;1;18;6;2016-03-23 11:04:44
S;;***;RH;Herkunftssprache anstelle einer Pflichtfremdsprache - Arabisch;0;1;18;2;2016-02-22 14:29:38
SG;;***;RH;Herkunftssprache anstelle einer Pflichtfremdsprache - Arabisch;;1;18;7;2020-08-13 09:20:59
SK;;***;RH;Herkunftssprache anstelle einer Pflichtfremdsprache - Arabisch;0;1;18;7;2016-02-22 13:22:31
SR;;***;RH;Herkunftssprache anstelle einer Pflichtfremdsprache - Arabisch;;1;18;5;2016-03-23 11:26:47
GE;;***;RK;Rechtskunde;;1;18;8;2020-08-13 10:32:05
GY;;***;RK;Rechtskunde;;1;18;8;2020-05-06 09:46:32
SG;;***;RK;Rechtskunde;;1;18;8;2020-08-13 09:21:00
SK;;***;RK;Rechtskunde;0;1;18;7;2020-05-06 11:33:04
WB;;***;RK;Rechtskunde;0;1;18;2;2020-04-03 14:52:50
G;;***;RM;Unterricht in der Herkunftssprache - Russisch;;1;18;1;2016-02-22 15:00:06
GE;;***;RM;Unterricht in der Herkunftssprache - Russisch;;1;18;9;2020-08-13 10:32:51
GM;;***;RM;Unterricht in der Herkunftssprache - Russisch;0;1;18;9;2017-02-07 10:44:11
GY;;***;RM;Unterricht in der Herkunftssprache - Russisch;;1;18;9;2016-02-22 15:55:13
H;;***;RM;Unterricht in der Herkunftssprache - Russisch;;1;18;4;2016-02-22 15:58:02
PS;;***;RM;Unterricht in der Herkunftssprache - Russisch;0;1;18;8;2016-02-22 16:03:12
R;;***;RM;Unterricht in der Herkunftssprache - Russisch;;1;18;8;2016-03-23 11:04:49
S;;***;RM;Unterricht in der Herkunftssprache - Russisch;;1;18;4;2016-02-22 14:30:00
SG;;***;RM;Unterricht in der Herkunftssprache - Russisch;;1;18;9;2020-08-13 09:21:06
SK;;***;RM;Unterricht in der Herkunftssprache - Russisch;0;1;18;9;2016-02-22 13:22:35
SR;;***;RM;Unterricht in der Herkunftssprache - Russisch;;1;18;7;2016-03-23 11:26:52
V;;***;RM;Unterricht in der Herkunftssprache - Russisch;;1;18;2;2016-02-22 13:11:14
GE;;***;RQ;Russisch, außerhalb des regulären Fachunterrichts;0;1;18;6;2020-08-13 10:32:04
GM;;***;RQ;Russisch, außerhalb des regulären Fachunterrichts;0;1;18;6;2017-02-07 10:44:05
GY;;***;RQ;Russisch, außerhalb des regulären Fachunterrichts;0;1;18;6;2016-02-22 15:55:07
PS;;***;RQ;Russisch, außerhalb des regulären Fachunterrichts;0;1;18;5;2016-02-22 16:03:04
R;;***;RQ;Russisch, außerhalb des regulären Fachunterrichts;0;1;18;5;2018-03-07 12:02:08
SG;;***;RQ;Russisch, außerhalb des regulären Fachunterrichts;0;1;18;6;2020-08-13 09:20:58
SK;;***;RQ;Russisch, außerhalb des regulären Fachunterrichts;0;1;18;6;2016-02-22 13:22:28
SR;;***;RQ;Russisch, außerhalb des regulären Fachunterrichts;0;1;18;4;2018-03-07 12:02:14
BK;;***;RW;Recht und Verwaltung;-1;1;18;0;2015-03-16 08:57:07
SB;;***;RW;Recht und Verwaltung;;1;18;0;
BK;;***;S;Spanisch;-1;1;19;0;
H;;R;S;Spanisch;0;1;19;1;2016-02-22 15:58:04
S;;***;S;Spanisch;0;1;19;1;2016-02-22 14:34:48
SB;;***;S;Spanisch;;1;19;0;
WB;;***;S;Spanisch;0;1;19;1;2016-02-22 13:07:49
GE;;***;S0;Spanisch, regulärer Beginn in der Einführungsphase;0;1;19;5;2020-08-13 10:33:05
GE;;***;S0;Spanisch, regulärer Beginn in der Einführungsphase;0;2;19;5;2020-08-13 10:35:06
GM;;***;S0;Spanisch, regulärer Beginn in der Einführungsphase;0;1;19;5;2017-02-07 10:37:38
GM;;***;S0;Spanisch, regulärer Beginn in der Einführungsphase;0;2;19;5;2017-02-07 10:37:38
GY;;***;S0;Spanisch, regulärer Beginn in der Einführungsphase;0;1;19;5;2016-02-22 15:55:23
GY;;***;S0;Spanisch, regulärer Beginn in der Einführungsphase;0;2;19;5;2016-02-22 15:55:25
PS;;***;S0;Spanisch, regulärer Beginn in der Einführungsphase;0;1;19;4;2016-02-22 16:03:25
PS;;***;S0;Spanisch, regulärer Beginn in der Einführungsphase;0;2;19;4;2016-02-22 16:03:28
SG;;***;S0;Spanisch, regulärer Beginn in der Einführungsphase;0;1;19;1;2016-02-22 13:36:10
SG;;***;S0;Spanisch, regulärer Beginn in der Einführungsphase;0;2;19;1;2016-02-22 13:36:12
G;;***;S3;Sport für Jungen;;1;19;4;2016-02-22 15:00:18
GE;;***;S3;Sport für Jungen;;1;19;11;2020-08-13 10:35:29
GM;;***;S3;Sport für Jungen;0;1;19;11;2017-02-07 10:44:30
GY;;***;S3;Sport für Jungen;;1;19;11;2016-02-22 15:55:42
H;;***;S3;Sport für Jungen;;1;19;6;2016-02-22 15:58:09
PS;;***;S3;Sport für Jungen;0;1;19;10;2016-02-22 16:03:36
R;;***;S3;Sport für Jungen;;1;19;10;2016-03-23 11:06:35
S;;***;S3;Sport für Jungen;0;1;19;7;2017-04-11 15:49:10
SG;;***;S3;Sport für Jungen;;1;19;11;2020-08-13 09:21:26
SK;;***;S3;Sport für Jungen;0;1;19;11;2016-02-22 13:23:40
SR;;***;S3;Sport für Jungen;;1;19;9;2016-03-23 11:29:34
V;;***;S3;Sport für Jungen;;1;19;1;2016-02-22 13:11:15
G;;***;S4;Sport für Mädchen;;1;19;5;2016-02-22 15:00:19
GE;;***;S4;Sport für Mädchen;;1;19;12;2020-08-13 10:35:33
GM;;***;S4;Sport für Mädchen;0;1;19;12;2017-02-07 10:44:32
GY;;***;S4;Sport für Mädchen;;1;19;12;2016-02-22 15:55:46
H;;***;S4;Sport für Mädchen;;1;19;7;2016-02-22 15:58:11
PS;;***;S4;Sport für Mädchen;0;1;19;11;2016-02-22 16:03:46
R;;***;S4;Sport für Mädchen;;1;19;11;2016-03-23 11:06:37
S;;***;S4;Sport für Mädchen;0;1;19;8;2017-04-11 15:49:12
SG;;***;S4;Sport für Mädchen;;1;19;12;2020-08-13 09:21:30
SK;;***;S4;Sport für Mädchen;0;1;19;12;2016-02-22 13:23:45
SR;;***;S4;Sport für Mädchen;;1;19;10;2016-03-23 11:29:36
V;;***;S4;Sport für Mädchen;;1;19;2;2016-02-22 13:11:17
GE;;***;S5;Spanisch, regulärer Beginn in Jahrgang 5;;1;19;1;2016-02-22 15:06:39
GE;;***;S5;Spanisch, regulärer Beginn in Jahrgang 5;0;2;19;1;2016-02-22 15:06:41
GM;;***;S5;Spanisch, regulärer Beginn in Jahrgang 5;0;1;19;1;2016-02-22 15:49:50
GM;;***;S5;Spanisch, regulärer Beginn in Jahrgang 5;0;2;19;1;2016-02-22 15:49:50
GY;;***;S5;Spanisch, regulärer Beginn in Jahrgang 5;;1;19;1;2016-02-22 15:55:15
GY;;***;S5;Spanisch, regulärer Beginn in Jahrgang 5;0;2;19;1;2016-02-22 15:55:16
PS;;***;S5;Spanisch, regulärer Beginn in Jahrgang 5;0;1;19;1;2016-02-22 16:03:15
PS;;***;S5;Spanisch, regulärer Beginn in Jahrgang 5;0;2;19;1;2016-02-22 16:03:16
R;;***;S5;Spanisch, regulärer Beginn in Jahrgang 5;0;1;19;1;2016-03-23 11:07:54
R;;***;S5;Spanisch, regulärer Beginn in Jahrgang 5;0;2;19;1;2016-03-23 12:58:36
SG;;***;S5;Spanisch, regulärer Beginn in Jahrgang 5;;1;19;2;2016-02-22 13:36:13
SG;;***;S5;Spanisch, regulärer Beginn in Jahrgang 5;0;2;19;2;2016-02-22 13:36:14
SK;;***;S5;Spanisch, regulärer Beginn in Jahrgang 5;0;1;19;1;2016-02-23 11:09:33
SK;;***;S5;Spanisch, regulärer Beginn in Jahrgang 5;0;2;19;1;2016-02-23 11:09:33
SR;;***;S5;Spanisch, regulärer Beginn in Jahrgang 5;0;1;19;1;2016-03-23 11:18:50
SR;;***;S5;Spanisch, regulärer Beginn in Jahrgang 5;0;2;19;1;2016-03-23 12:59:57
GE;;***;S6;Spanisch, regulärer Beginn in Jahrgang 6;0;1;19;2;2016-02-22 15:06:42
GE;;***;S6;Spanisch, regulärer Beginn in Jahrgang 6;0;2;19;2;2016-02-22 15:06:43
GM;;***;S6;Spanisch, regulärer Beginn in Jahrgang 6;0;1;19;2;2016-02-22 15:49:51
GM;;***;S6;Spanisch, regulärer Beginn in Jahrgang 6;0;2;19;2;2016-02-22 15:49:52
GY;;***;S6;Spanisch, regulärer Beginn in Jahrgang 6;0;1;19;2;2016-02-22 15:55:16
GY;;***;S6;Spanisch, regulärer Beginn in Jahrgang 6;0;2;19;2;2016-02-22 15:55:17
PS;;***;S6;Spanisch, regulärer Beginn in Jahrgang 6;0;1;19;2;2016-02-22 16:03:17
PS;;***;S6;Spanisch, regulärer Beginn in Jahrgang 6;0;2;19;2;2016-02-22 16:03:19
R;;***;S6;Spanisch, regulärer Beginn in Jahrgang 6;0;1;19;2;2016-03-23 11:11:59
R;;***;S6;Spanisch, regulärer Beginn in Jahrgang 6;0;2;19;2;2016-03-23 12:58:37
SG;;***;S6;Spanisch, regulärer Beginn in Jahrgang 6;0;1;19;3;2016-02-22 13:36:14
SG;;***;S6;Spanisch, regulärer Beginn in Jahrgang 6;0;2;19;3;2016-02-22 13:36:15
SK;;***;S6;Spanisch, regulärer Beginn in Jahrgang 6;0;1;19;2;2016-02-23 11:09:34
SK;;***;S6;Spanisch, regulärer Beginn in Jahrgang 6;0;2;19;2;2016-02-23 11:09:34
SR;;***;S6;Spanisch, regulärer Beginn in Jahrgang 6;0;1;19;2;2016-03-23 11:18:50
SR;;***;S6;Spanisch, regulärer Beginn in Jahrgang 6;0;2;19;2;2016-03-23 12:59:57
GE;;***;S7;Spanisch, regulärer Beginn in Jahrgang 7;0;1;19;3;2020-08-13 10:32:56
GE;;***;S7;Spanisch, regulärer Beginn in Jahrgang 7;0;2;19;3;2020-08-13 10:32:58
GM;;***;S7;Spanisch, regulärer Beginn in Jahrgang 7;0;1;19;3;2016-02-22 15:49:59
GM;;***;S7;Spanisch, regulärer Beginn in Jahrgang 7;0;2;19;3;2016-02-22 15:50:00
GY;;***;S7;Spanisch, regulärer Beginn in Jahrgang 7;;1;19;3;2016-02-22 15:55:18
GY;;***;S7;Spanisch, regulärer Beginn in Jahrgang 7;0;2;19;3;2016-02-22 15:55:18
R;;***;S7;Spanisch, regulärer Beginn in Jahrgang 7;0;1;19;3;2016-03-23 11:12:00
R;;***;S7;Spanisch, regulärer Beginn in Jahrgang 7;0;2;19;3;2016-03-23 12:58:38
SG;;***;S7;Spanisch, regulärer Beginn in Jahrgang 7;0;1;19;4;2020-08-13 09:21:07
SG;;***;S7;Spanisch, regulärer Beginn in Jahrgang 7;0;2;19;4;2020-08-13 09:21:09
SK;;***;S7;Spanisch, regulärer Beginn in Jahrgang 7;0;1;19;3;2016-02-23 11:09:36
SK;;***;S7;Spanisch, regulärer Beginn in Jahrgang 7;0;2;19;3;2016-02-23 11:09:37
GE;;***;S8;Spanisch, regulärer Beginn in Jahrgang 8;;1;19;4;2020-08-13 10:33:04
GE;;***;S8;Spanisch, regulärer Beginn in Jahrgang 8;0;2;19;4;2020-08-13 10:32:59
GM;;***;S8;Spanisch, regulärer Beginn in Jahrgang 8;0;1;19;4;2016-02-22 15:50:01
GM;;***;S8;Spanisch, regulärer Beginn in Jahrgang 8;0;2;19;4;2016-02-22 15:50:06
GY;;***;S8;Spanisch, regulärer Beginn in Jahrgang 8;;1;19;4;2016-02-22 15:55:19
GY;;***;S8;Spanisch, regulärer Beginn in Jahrgang 8;0;2;19;4;2016-02-22 15:55:22
PS;;***;S8;Spanisch, regulärer Beginn in Jahrgang 8;0;1;19;3;2016-02-22 16:03:19
PS;;***;S8;Spanisch, regulärer Beginn in Jahrgang 8;0;2;19;3;2016-02-22 16:03:24
R;;***;S8;Spanisch, regulärer Beginn in Jahrgang 8;0;1;19;4;2016-03-23 11:12:02
R;;***;S8;Spanisch, regulärer Beginn in Jahrgang 8;0;2;19;4;2016-03-23 12:58:45
SG;;***;S8;Spanisch, regulärer Beginn in Jahrgang 8;0;1;19;5;2020-08-13 09:21:12
SG;;***;S8;Spanisch, regulärer Beginn in Jahrgang 8;0;2;19;5;2020-08-13 09:21:10
SK;;***;S8;Spanisch, regulärer Beginn in Jahrgang 8;0;1;19;4;2016-02-23 11:09:38
SK;;***;S8;Spanisch, regulärer Beginn in Jahrgang 8;0;2;19;4;2016-02-23 11:09:42
SR;;***;S8;Spanisch, regulärer Beginn in Jahrgang 8;0;1;19;3;2016-03-23 11:27:08
SR;;***;S8;Spanisch, regulärer Beginn in Jahrgang 8;0;2;19;4;2016-03-23 12:59:59
BK;;***;SE;Softwareentwicklung und -engineering;0;1;19;0;2020-06-03 11:41:33
SB;;***;SE;Softwareentwicklung und -engineering;0;1;19;0;2020-06-03 11:47:13
BK;;***;SG;sonderpädag. Förderung für Schüler/-innen mit sonderpädag. Förderbedarf;0;1;19;0;2012-03-28 08:43:22
G;;***;SG;sonderpädag. Förderung für Schüler/-innen mit sonderpädag. Förderbedarf;0;1;19;1;2016-02-22 15:00:09
GE;;***;SG;sonderpädag. Förderung für Schüler/-innen mit sonderpädag. Förderbedarf;0;1;19;7;2020-08-13 10:35:24
GM;;***;SG;sonderpädag. Förderung für Schüler/-innen mit sonderpädag. Förderbedarf;0;1;19;7;2017-02-07 10:44:21
GY;;***;SG;sonderpädag. Förderung für Schüler/-innen mit sonderpädag. Förderbedarf;0;1;19;7;2016-02-22 15:55:36
H;;***;SG;sonderpädag. Förderung für Schüler/-innen mit sonderpädag. Förderbedarf;0;1;19;2;2016-02-22 15:58:05
PS;;***;SG;sonderpädag. Förderung für Schüler/-innen mit sonderpädag. Förderbedarf;0;1;19;6;2016-02-22 16:03:31
R;;***;SG;sonderpädag. Förderung für Schüler/-innen mit sonderpädag. Förderbedarf;0;1;19;6;2016-03-23 11:06:30
SB;;***;SG;sonderpädag. Förderung für Schüler/-innen mit sonderpädag. Förderbedarf;0;1;19;0;2012-03-28 08:43:35
SG;;***;SG;sonderpädag. Förderung für Schüler/-innen mit sonderpädag. Förderbedarf;0;1;19;7;2020-08-13 09:21:19
SK;;***;SG;sonderpädag. Förderung für Schüler/-innen mit sonderpädag. Förderbedarf;0;1;19;7;2016-02-22 13:23:28
SR;;***;SG;sonderpädag. Förderung für Schüler/-innen mit sonderpädag. Förderbedarf;0;1;19;5;2016-03-23 11:29:20
V;;***;SG;sonderpädag. Förderung für Schüler/-innen mit sonderpädag. Förderbedarf;0;1;19;3;2016-02-22 13:11:18
GE;;***;SH;Herkunftssprache anstelle einer Pflichtfremdsprache - Spanisch;;1;19;8;2020-08-13 10:35:25
GM;;***;SH;Herkunftssprache anstelle einer Pflichtfremdsprache - Spanisch;0;1;19;8;2017-02-07 10:44:22
GY;;***;SH;Herkunftssprache anstelle einer Pflichtfremdsprache - Spanisch;;1;19;8;2016-02-22 15:55:37
H;;R;SH;Herkunftssprache anstelle einer Pflichtfremdsprache - Spanisch;0;1;19;3;2016-02-22 15:58:06
PS;;***;SH;Herkunftssprache anstelle einer Pflichtfremdsprache - Spanisch;0;1;19;7;2016-02-22 16:03:31
R;;***;SH;Herkunftssprache anstelle einer Pflichtfremdsprache - Spanisch;;1;19;7;2016-03-23 11:06:31
S;;***;SH;Herkunftssprache anstelle einer Pflichtfremdsprache - Spanisch;0;1;19;2;2016-02-22 14:34:52
SG;;***;SH;Herkunftssprache anstelle einer Pflichtfremdsprache - Spanisch;;1;19;8;2020-08-13 09:21:21
SK;;***;SH;Herkunftssprache anstelle einer Pflichtfremdsprache - Spanisch;0;1;19;8;2016-02-22 13:23:30
SR;;***;SH;Herkunftssprache anstelle einer Pflichtfremdsprache - Spanisch;;1;19;6;2016-03-23 11:29:22
BK;;***;SI;Spiel;-1;1;19;0;
S;;***;SI;Spiel;0;1;19;3;2016-02-22 14:35:26
SB;;***;SI;Spiel;;1;19;0;
BK;;***;SL;Soziologie;-1;1;19;0;
SB;;***;SL;Soziologie;;1;19;0;
WB;;***;SL;Soziologie;0;1;19;2;2016-02-22 13:07:50
G;;***;SM;Unterricht in der Herkunftssprache - Spanisch;;1;19;2;2016-02-22 15:00:10
GE;;***;SM;Unterricht in der Herkunftssprache - Spanisch;;1;19;9;2020-08-13 10:35:26
GM;;***;SM;Unterricht in der Herkunftssprache - Spanisch;0;1;19;9;2017-02-07 10:44:23
GY;;***;SM;Unterricht in der Herkunftssprache - Spanisch;;1;19;9;2016-02-22 15:55:38
H;;***;SM;Unterricht in der Herkunftssprache - Spanisch;;1;19;4;2016-02-22 15:58:07
PS;;***;SM;Unterricht in der Herkunftssprache - Spanisch;0;1;19;8;2016-02-22 16:03:32
R;;***;SM;Unterricht in der Herkunftssprache - Spanisch;;1;19;8;2016-03-23 11:06:33
S;;***;SM;Unterricht in der Herkunftssprache - Spanisch;0;1;19;4;2016-02-22 14:35:37
SG;;***;SM;Unterricht in der Herkunftssprache - Spanisch;;1;19;9;2020-08-13 09:21:22
SK;;***;SM;Unterricht in der Herkunftssprache - Spanisch;0;1;19;9;2016-02-22 13:23:32
SR;;***;SM;Unterricht in der Herkunftssprache - Spanisch;;1;19;7;2016-03-23 11:29:23
V;;***;SM;Unterricht in der Herkunftssprache - Spanisch;;1;19;4;2016-02-22 13:11:20
BK;;***;SP;Sport;-1;1;19;0;
G;;***;SP;Sport;0;1;19;3;2016-02-22 15:00:13
GE;;***;SP;Sport;;1;19;10;2020-08-13 10:35:28
GM;;***;SP;Sport;0;1;19;10;2017-02-07 10:44:29
GY;;***;SP;Sport;;1;19;10;2016-02-22 15:55:42
H;;***;SP;Sport;0;1;19;5;2016-02-22 15:58:08
PS;;***;SP;Sport;0;1;19;9;2016-02-22 16:03:35
R;;***;SP;Sport;;1;19;9;2016-03-23 11:06:34
S;;***;SP;Sport;0;1;19;5;2017-04-11 15:46:59
SB;;***;SP;Sport;;1;19;0;
SG;;***;SP;Sport;;1;19;10;2020-08-13 09:21:25
SK;;***;SP;Sport;0;1;19;10;2016-02-22 13:23:39
SR;;***;SP;Sport;;1;19;8;2016-03-23 11:29:24
V;;***;SP;Sport;;1;19;5;2016-02-22 13:11:21
WB;;***;SP;Sport;0;1;19;3;2016-02-22 13:07:51
GE;;***;SQ;Spanisch, außerhalb des regulären Fachunterrichts;0;1;19;6;2020-08-13 10:35:23
GM;;***;SQ;Spanisch, außerhalb des regulären Fachunterrichts;0;1;19;6;2017-02-07 10:44:20
GY;;***;SQ;Spanisch, außerhalb des regulären Fachunterrichts;0;1;19;6;2016-02-22 15:55:35
PS;;***;SQ;Spanisch, außerhalb des regulären Fachunterrichts;0;1;19;5;2016-02-22 16:03:30
R;;***;SQ;Spanisch, außerhalb des regulären Fachunterrichts;0;1;19;5;2016-03-23 11:08:02
SG;;***;SQ;Spanisch, außerhalb des regulären Fachunterrichts;0;1;19;6;2020-08-13 09:21:18
